Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-halston-biker,The Halston Biker,"<p>A refined take on the classic biker. Full-grain Italian leather, asymmetric zip, and a hand-waxed finish that only deepens with wear.</p><ul><li>Handcrafted in our European atelier</li><li>Premium hardware and bonded-thread stitching</li><li>Lifetime repair guarantee</li></ul>",Orlaven,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Biker Jacket,"biker, full-grain-leather, best-sellers, new-arrivals, jackets, moto",TRUE,Size,S,Color,Espresso,,,ORL-HALSTON-BIKER-S-ESP,1400,shopify,8,deny,manual,1395.00,1495.00,TRUE,TRUE,,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=1600&q=80&auto=format&fit=crop,1,The Halston Biker in Espresso - front view,FALSE,The Halston Biker | Handcrafted Leather | Orlaven,The Halston Biker: full grain leather biker jacket handcrafted by Orlaven. Sizes S to XXL. Free shipping over $200.,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-S-ESP,new,TRUE,,g,,558.00,active
the-halston-biker,,,Orlaven,,,,,Size,M,Color,Espresso,,,ORL-HALSTON-BIKER-M-ESP,1400,shopify,9,deny,manual,1395.00,1495.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-M-ESP,new,TRUE,,g,,558.00,active
the-halston-biker,,,Orlaven,,,,,Size,L,Color,Espresso,,,ORL-HALSTON-BIKER-L-ESP,1400,shopify,10,deny,manual,1395.00,1495.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-L-ESP,new,TRUE,,g,,558.00,active
the-halston-biker,,,Orlaven,,,,,Size,XL,Color,Espresso,,,ORL-HALSTON-BIKER-XL-ESP,1400,shopify,8,deny,manual,1395.00,1495.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-XL-ESP,new,TRUE,,g,,558.00,active
the-halston-biker,,,Orlaven,,,,,Size,XXL,Color,Espresso,,,ORL-HALSTON-BIKER-XXL-ESP,1400,shopify,9,deny,manual,1395.00,1495.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-XXL-ESP,new,TRUE,,g,,558.00,active
the-halston-biker,,,Orlaven,,,,,Size,S,Color,Black,,,ORL-HALSTON-BIKER-S-BLK,1400,shopify,9,deny,manual,1395.00,1495.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-S-BLK,new,TRUE,,g,,558.00,active
the-halston-biker,,,Orlaven,,,,,Size,M,Color,Black,,,ORL-HALSTON-BIKER-M-BLK,1400,shopify,10,deny,manual,1395.00,1495.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-M-BLK,new,TRUE,,g,,558.00,active
the-halston-biker,,,Orlaven,,,,,Size,L,Color,Black,,,ORL-HALSTON-BIKER-L-BLK,1400,shopify,11,deny,manual,1395.00,1495.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-L-BLK,new,TRUE,,g,,558.00,active
the-halston-biker,,,Orlaven,,,,,Size,XL,Color,Black,,,ORL-HALSTON-BIKER-XL-BLK,1400,shopify,9,deny,manual,1395.00,1495.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-XL-BLK,new,TRUE,,g,,558.00,active
the-halston-biker,,,Orlaven,,,,,Size,XXL,Color,Black,,,ORL-HALSTON-BIKER-XXL-BLK,1400,shopify,10,deny,manual,1395.00,1495.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-XXL-BLK,new,TRUE,,g,,558.00,active
the-halston-biker,,,Orlaven,,,,,Size,S,Color,Oxblood,,,ORL-HALSTON-BIKER-S-OXB,1400,shopify,8,deny,manual,1395.00,1495.00,TRUE,TRUE,,,,,FALSE,,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,unisex,adult,ORL-HALSTON-BIKER-S-OXB,new,TRUE,,g,,558.00,active
